region,trend,slope_prob,rhat
ID100,TRUE,0.6473,1.01
ID101,TRUE,0.5213,1.009
ID102,TRUE,0.6185,1
ID103,FALSE,0.4955,1.001
ID104,FALSE,0.4925,1.004
ID105,TRUE,0.9304,1
ID106,TRUE,0.5455,1
ID107,TRUE,0.8461,1.003
ID108,TRUE,0.5041,1.002
ID109,FALSE,0.4947,1.006
ID110,FALSE,0.4961,1.018
ID111,FALSE,0.4969,1.002
ID112,TRUE,0.5022,1.004
ID113,FALSE,0.5011,1.008
ID114,TRUE,0.4959,1.005
ID115,TRUE,0.5081,1.008
ID116,FALSE,0.4935,1.006
ID117,TRUE,0.552,1.007
ID118,TRUE,0.5233,1.008
ID119,TRUE,0.7083,1
ID12,TRUE,0.5022,1.012
ID120,TRUE,0.7357,1
ID121,FALSE,0.2737,1.005
ID122,TRUE,0.6463,1.034
ID123,TRUE,0.8981,1.001
ID124,FALSE,0.4949,1.014
ID125,TRUE,0.5018,1
ID126,FALSE,0.4995,1.002
ID127,TRUE,0.502,1.008
ID128,FALSE,0.4435,1.051
ID129,TRUE,0.5022,1.008
ID13,TRUE,0.627,1.001
ID130,FALSE,0.4919,1.003
ID131,FALSE,0.4453,1
ID132,FALSE,0.4989,1.035
ID133,TRUE,0.5058,1.002
ID134,FALSE,0.5001,1.014
ID135,FALSE,0.3307,1
ID136,FALSE,0.5012,1.002
ID137,TRUE,0.5041,1.012
ID138,TRUE,0.5565,1.001
ID139,TRUE,0.6263,1.001
ID14,FALSE,0.2252,1
ID140,TRUE,0.9615,1
ID141,TRUE,0.9094,1
ID142,TRUE,0.8336,1
ID143,TRUE,0.5177,1.012
ID144,FALSE,0.4971,1.01
ID145,FALSE,0.4925,1.001
ID146,FALSE,0.4957,1.005
ID147,FALSE,0.4375,1.015
ID148,TRUE,0.5785,1.002
ID149,FALSE,0.3935,1.018
ID15,TRUE,0.9682,1
ID150,TRUE,0.8467,1.005
ID151,TRUE,0.4993,1.006
ID152,FALSE,0.4935,1.006
ID153,TRUE,0.5506,1
ID154,FALSE,0.3773,1.001
ID155,FALSE,0.4966,1.001
ID156,TRUE,0.9295,1
ID157,TRUE,0.9395,1.001
ID158,FALSE,0.094,1
ID159,TRUE,0.9605,1
ID16,TRUE,0.5015,1.004
ID160,FALSE,0.4959,1.001
ID161,TRUE,0.5047,1
ID162,TRUE,0.5229,1.004
ID163,FALSE,0.4947,1
ID164,TRUE,0.5061,1.009
ID165,TRUE,0.8095,1.001
ID166,TRUE,0.9753,1.002
ID167,TRUE,0.7539,1.004
ID168,TRUE,0.9384,1.001
ID169,FALSE,0.4975,1.007
ID17,FALSE,0.494,1.012
ID170,TRUE,0.5027,1.003
ID171,TRUE,0.5059,1.006
ID172,TRUE,0.5036,1.001
ID173,TRUE,0.5078,1.001
ID175,FALSE,0.4707,1.002
ID176,TRUE,0.9933,1
ID177,TRUE,0.6127,1.015
ID178,TRUE,0.9384,1
ID179,TRUE,0.5606,1
ID180,FALSE,0.4812,1.001
ID181,TRUE,0.5871,1.001
ID182,TRUE,0.8872,1
ID183,TRUE,0.6695,1
ID184,TRUE,0.6741,1.005
ID185,TRUE,0.9831,1
ID186,FALSE,0.5046,1.019
ID187,FALSE,0.4959,1.01
ID189,FALSE,0.4965,1.001
ID19,TRUE,0.9963,1.002
ID190,TRUE,0.704,1.001
ID192,TRUE,0.4995,1.001
ID193,TRUE,0.7707,1.008
ID194,TRUE,0.9789,1
ID195,TRUE,0.6922,1
ID196,FALSE,0.4266,1.001
ID197,TRUE,0.5188,1.006
ID198,TRUE,0.5022,1.018
ID199,FALSE,0.4961,1.015
ID2,FALSE,0.4943,1.001
ID20,TRUE,0.9701,1.001
ID200,FALSE,0.5017,1.003
ID201,FALSE,0.4999,1.001
ID203,FALSE,0.5002,1.006
ID205,FALSE,0.4891,1.006
ID206,TRUE,0.5083,1.011
ID23,FALSE,0.4955,1.002
ID24,FALSE,0.5013,1.024
ID25,TRUE,0.5095,1.002
ID26,TRUE,0.5268,1.006
ID27,TRUE,0.9454,1.001
ID28,TRUE,0.9656,1
ID29,TRUE,0.9441,1
ID30,TRUE,0.6176,1.021
ID31,TRUE,0.9741,1.001
ID32,TRUE,0.9635,1.001
ID33,TRUE,0.9209,1
ID35,FALSE,0.4968,1.005
ID36,FALSE,0.4903,1.001
ID37,TRUE,0.5084,1
ID38,TRUE,0.5096,1.002
ID39,TRUE,0.5261,1.033
ID40,TRUE,0.5219,1
ID41,TRUE,0.9858,1
ID42,TRUE,0.8309,1.018
ID43,TRUE,0.8013,1
ID44,TRUE,0.5177,1.008
ID45,TRUE,0.7777,1.003
ID46,TRUE,0.808,1.001
ID47,TRUE,0.9953,1
ID50,TRUE,0.6546,1
ID51,TRUE,0.9993,1
ID52,TRUE,0.5145,1.005
ID53,TRUE,0.7163,1
ID54,TRUE,0.5085,1.004
ID55,TRUE,0.5078,1.006
ID56,TRUE,0.6165,1.002
ID57,TRUE,0.6733,1.001
ID58,TRUE,0.6034,1.001
ID59,TRUE,0.8856,1.001
ID6,TRUE,0.5136,1.019
ID60,TRUE,0.7897,1.002
ID61,FALSE,0.4434,1.004
ID62,TRUE,0.6685,1.001
ID63,TRUE,0.5503,1.001
ID64,TRUE,0.8131,1.003
ID67,TRUE,0.5724,1.014
ID68,FALSE,0.4959,1.002
ID69,TRUE,0.5205,1.001
ID70,TRUE,0.5731,1.023
ID71,TRUE,0.5518,1
ID72,TRUE,0.5591,1.009
ID73,FALSE,0.5019,1
ID74,TRUE,0.527,1.005
ID75,TRUE,0.9972,1
ID76,TRUE,0.7133,1.003
ID77,FALSE,0.4544,1
ID78,FALSE,0.4835,1.003
ID79,FALSE,0.4716,1.025
ID8,FALSE,0.5019,1.008
ID80,TRUE,0.9687,1.003
ID81,TRUE,0.6933,1.002
ID82,TRUE,0.7107,1.011
ID83,FALSE,0.493,1.001
ID84,TRUE,0.5794,1.04
ID85,FALSE,0.3148,1.014
ID86,FALSE,0.5029,1.002
ID87,FALSE,0.4879,1.008
ID88,TRUE,0.5244,1.005
ID89,TRUE,0.5421,1.033
ID9,TRUE,0.7889,1
ID90,TRUE,0.5011,1.001
ID91,TRUE,0.5043,1.001
ID92,TRUE,0.5261,1.007
ID93,TRUE,0.9395,1.001
ID94,FALSE,0.4741,1.015
ID95,FALSE,0.2255,1.004
ID96,TRUE,0.9511,1.003
ID97,TRUE,0.6115,1.008
ID98,TRUE,0.5692,1.013
ID99,TRUE,0.6077,1.003
